model,method,layer,subspace_dimension,orientation_convention,orientation_reference,raw_orientation_dot,orientation_sign_flipped,artifact_path
qwen-0.6b,mean_diff,0,1,negative_to_positive,toy_train_class_mean_difference,0.19608328004254838,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer00.npz
qwen-0.6b,kmeans,0,1,negative_to_positive,toy_train_class_mean_difference,0.19608328004254838,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer00.npz
qwen-0.6b,logistic_regression,0,1,negative_to_positive,toy_train_class_mean_difference,1.5837219285567907,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer00.npz
qwen-0.6b,pca,0,1,negative_to_positive,toy_train_class_mean_difference,0.38835853991325203,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer00.npz
qwen-0.6b,das,0,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-0.35664910078048706,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer00.npz
qwen-0.6b,das2d,0,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-0.2640363276004791,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer00.npz
qwen-0.6b,das3d,0,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-0.23284868896007538,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer00.npz
qwen-0.6b,random,0,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/8593f6c95d8c4416/layer00.npz
qwen-0.6b,mean_diff,1,1,negative_to_positive,toy_train_class_mean_difference,20.96677017582457,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer01.npz
qwen-0.6b,kmeans,1,1,negative_to_positive,toy_train_class_mean_difference,17.815029394910518,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer01.npz
qwen-0.6b,logistic_regression,1,1,negative_to_positive,toy_train_class_mean_difference,8.28633040350833,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer01.npz
qwen-0.6b,pca,1,1,negative_to_positive,toy_train_class_mean_difference,-3.8608731435384565,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer01.npz
qwen-0.6b,das,1,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,3.7995715141296387,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer01.npz
qwen-0.6b,das2d,1,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,2.8664276599884033,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer01.npz
qwen-0.6b,das3d,1,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,2.4581167697906494,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer01.npz
qwen-0.6b,random,1,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/aa982cf46b626d64/layer01.npz
qwen-0.6b,mean_diff,2,1,negative_to_positive,toy_train_class_mean_difference,25.194240046740067,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer02.npz
qwen-0.6b,kmeans,2,1,negative_to_positive,toy_train_class_mean_difference,13.524634257089865,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer02.npz
qwen-0.6b,logistic_regression,2,1,negative_to_positive,toy_train_class_mean_difference,8.602067957007307,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer02.npz
qwen-0.6b,pca,2,1,negative_to_positive,toy_train_class_mean_difference,-4.1969334855888265,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer02.npz
qwen-0.6b,das,2,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,4.144661903381348,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer02.npz
qwen-0.6b,das2d,2,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,2.939483404159546,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer02.npz
qwen-0.6b,das3d,2,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,2.575195074081421,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer02.npz
qwen-0.6b,random,2,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/1fd0d0f4877a3f54/layer02.npz
qwen-0.6b,mean_diff,3,1,negative_to_positive,toy_train_class_mean_difference,30.325359188745235,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer03.npz
qwen-0.6b,kmeans,3,1,negative_to_positive,toy_train_class_mean_difference,20.05490425491691,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer03.npz
qwen-0.6b,logistic_regression,3,1,negative_to_positive,toy_train_class_mean_difference,8.916222573285829,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer03.npz
qwen-0.6b,pca,3,1,negative_to_positive,toy_train_class_mean_difference,-4.509167890294926,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer03.npz
qwen-0.6b,das,3,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,4.472692012786865,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer03.npz
qwen-0.6b,das2d,3,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,3.1897289752960205,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer03.npz
qwen-0.6b,das3d,3,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,2.452709913253784,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer03.npz
qwen-0.6b,random,3,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/830cf21e389a08d0/layer03.npz
qwen-0.6b,mean_diff,4,1,negative_to_positive,toy_train_class_mean_difference,38.438287375282684,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer04.npz
qwen-0.6b,kmeans,4,1,negative_to_positive,toy_train_class_mean_difference,34.06239748632814,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer04.npz
qwen-0.6b,logistic_regression,4,1,negative_to_positive,toy_train_class_mean_difference,9.283223466397189,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer04.npz
qwen-0.6b,pca,4,1,negative_to_positive,toy_train_class_mean_difference,-4.901352890728265,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer04.npz
qwen-0.6b,das,4,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,5.028741836547852,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer04.npz
qwen-0.6b,das2d,4,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,4.4400177001953125,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer04.npz
qwen-0.6b,das3d,4,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,3.5462026596069336,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer04.npz
qwen-0.6b,random,4,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/de1251304e5d1b56/layer04.npz
qwen-0.6b,mean_diff,5,1,negative_to_positive,toy_train_class_mean_difference,62.91461468749507,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer05.npz
qwen-0.6b,kmeans,5,1,negative_to_positive,toy_train_class_mean_difference,57.38430913098319,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer05.npz
qwen-0.6b,logistic_regression,5,1,negative_to_positive,toy_train_class_mean_difference,10.092546399679376,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer05.npz
qwen-0.6b,pca,5,1,negative_to_positive,toy_train_class_mean_difference,-6.317076394493151,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer05.npz
qwen-0.6b,das,5,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,6.445590972900391,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer05.npz
qwen-0.6b,das2d,5,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,4.703885078430176,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer05.npz
qwen-0.6b,das3d,5,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,3.88675856590271,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer05.npz
qwen-0.6b,random,5,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/9d4866f6f4cb8f19/layer05.npz
qwen-0.6b,mean_diff,6,1,negative_to_positive,toy_train_class_mean_difference,87.38823632547289,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer06.npz
qwen-0.6b,kmeans,6,1,negative_to_positive,toy_train_class_mean_difference,75.24148037500512,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer06.npz
qwen-0.6b,logistic_regression,6,1,negative_to_positive,toy_train_class_mean_difference,10.719756819649307,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer06.npz
qwen-0.6b,pca,6,1,negative_to_positive,toy_train_class_mean_difference,-7.99786717398553,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer06.npz
qwen-0.6b,das,6,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,7.695035934448242,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer06.npz
qwen-0.6b,das2d,6,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,5.561393737792969,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer06.npz
qwen-0.6b,das3d,6,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,4.718300819396973,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer06.npz
qwen-0.6b,random,6,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/a132689ecc59d5b7/layer06.npz
qwen-0.6b,mean_diff,7,1,negative_to_positive,toy_train_class_mean_difference,107.54485341041726,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer07.npz
qwen-0.6b,kmeans,7,1,negative_to_positive,toy_train_class_mean_difference,92.02160280547909,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer07.npz
qwen-0.6b,logistic_regression,7,1,negative_to_positive,toy_train_class_mean_difference,11.077885658324792,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer07.npz
qwen-0.6b,pca,7,1,negative_to_positive,toy_train_class_mean_difference,-8.930589520682195,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer07.npz
qwen-0.6b,das,7,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,8.48801040649414,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das/7448555425f33e3a/layer07.npz
qwen-0.6b,das2d,7,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,6.17026948928833,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das2d/6855bab455bb9004/layer07.npz
qwen-0.6b,das3d,7,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,4.816446781158447,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/das3d/59ff6b7aa374cc26/layer07.npz
qwen-0.6b,random,7,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/random/112747c74fd6ea57/layer07.npz
qwen-0.6b,mean_diff,8,1,negative_to_positive,toy_train_class_mean_difference,115.08156525972637,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/mean_diff/32c147e6c987f5c0/layer08.npz
qwen-0.6b,kmeans,8,1,negative_to_positive,toy_train_class_mean_difference,99.51097269463332,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/kmeans/2d37611532fcd8cf/layer08.npz
qwen-0.6b,logistic_regression,8,1,negative_to_positive,toy_train_class_mean_difference,11.212711150504637,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/logistic_regression/a15da36948c84ad3/layer08.npz
qwen-0.6b,pca,8,1,negative_to_positive,toy_train_class_mean_difference,-8.727375838103974,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/qwen-0.6b/reproduction/pca/32c147e6c987f5c0/layer08.npz
