model,method,layer,dataset,clean_id,corrupted_id,clean_label,corrupted_label,clean_logit_diff,corrupted_logit_diff,patched_logit_diff,clean_margin,corrupted_margin,patched_margin,recovery,recovery_percent,flipped
gpt2-small,mean_diff,0,toy_test,toy-test-pos-000,toy-test-neg-000,1,0,1.8000000715255737,0.20000000298023224,1.399999976158142,1.8000000715255737,0.20000000298023224,1.399999976158142,0.7499999511055669,74.9999951105567,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-000,toy-test-pos-001,0,1,0.20000000298023224,2.4000000953674316,1.8000000715255737,-0.20000000298023224,-2.4000000953674316,-1.8000000715255737,0.2727272721115223,27.27272721115223,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-001,toy-test-neg-001,1,0,2.4000000953674316,-2.299999952316284,1.2000000476837158,2.4000000953674316,-2.299999952316284,1.2000000476837158,0.7446808435086916,74.46808435086915,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-001,toy-test-pos-002,0,1,-2.299999952316284,2.6000001430511475,1.899999976158142,2.299999952316284,-2.6000001430511475,-1.899999976158142,0.14285717413654767,14.285717413654767,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-002,toy-test-neg-002,1,0,2.6000001430511475,-0.800000011920929,0.9000000357627869,2.6000001430511475,-0.800000011920929,0.9000000357627869,0.4999999912346115,49.999999123461144,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-002,toy-test-pos-003,0,1,-0.800000011920929,2.700000047683716,0.6000000238418579,0.800000011920929,-2.700000047683716,-0.6000000238418579,0.5999999965940204,59.999999659402036,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-003,toy-test-neg-003,1,0,2.700000047683716,-1.100000023841858,1.5,2.700000047683716,-1.100000023841858,1.5,0.6842105197113968,68.42105197113968,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-003,toy-test-pos-004,0,1,-1.100000023841858,2.5,0.4000000059604645,1.100000023841858,-2.5,-0.4000000059604645,0.5833333278143847,58.33333278143848,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-004,toy-test-neg-004,1,0,2.5,-0.10000000149011612,0.9000000357627869,2.5,-0.10000000149011612,0.9000000357627869,0.38461539872299283,38.461539872299284,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-004,toy-test-pos-005,0,1,-0.10000000149011612,3.200000047683716,2.9000000953674316,0.10000000149011612,-3.200000047683716,-2.9000000953674316,0.09090907510482928,9.090907510482927,0.0
