example_id,split,label,binarization_method,pythia_correct,sentiment_score,source_text,prompt_text,prompt_repr,prompt_utf8_hex,prompt_sha256,gpt2_token_ids,gpt2_num_tokens,pythia_raw_num_tokens,pythia_prompt_num_tokens
sst-3,test,1,tigges,True,0.51389,Effective but too-tepid biopic,Review Text: Effective but too-tepid biopic Review Sentiment:,'Review Text: Effective but too-tepid biopic Review Sentiment:',52657669657720546578743a204566666563746976652062757420746f6f2d74657069642062696f706963205265766965772053656e74696d656e743a,e3a6bfa73613add9f8014813523143264af36b2c5aa23f70c06334d9164995a5,"[50256, 14832, 8255, 25, 29455, 475, 1165, 12, 83, 538, 312, 3182, 16603, 6602, 11352, 3681, 25]",17,10,16
sst-4,test,1,tigges,True,0.73611,"If you sometimes like to go to the movies to have fun, Wasabi is a good place to start.","Review Text: If you sometimes like to go to the movies to have fun, Wasabi is a good place to start. Review Sentiment:","'Review Text: If you sometimes like to go to the movies to have fun, Wasabi is a good place to start. Review Sentiment:'",52657669657720546578743a20496620796f7520736f6d6574696d6573206c696b6520746f20676f20746f20746865206d6f7669657320746f20686176652066756e2c20576173616269206973206120676f6f6420706c61636520746f2073746172742e205265766965772053656e74696d656e743a,846008290e970f9f40889dbcface32de8c197917ff482e9a9a553c098071ef42,"[50256, 14832, 8255, 25, 1002, 345, 3360, 588, 284, 467, 284, 262, 6918, 284, 423, 1257, 11, 8920, 17914, 318, 257, 922, 1295, 284, 923, 13, 6602, 11352, 3681, 25]",30,23,30
sst-5,test,1,tigges,True,0.86111,"Emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one.","Review Text: Emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one. Review Sentiment:","""Review Text: Emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one. Review Sentiment:""",52657669657720546578743a20456d657267657320617320736f6d657468696e6720726172652c20616e206973737565206d6f7669652074686174277320736f20686f6e65737420616e64206b65656e6c79206f62736572766564207468617420697420646f65736e2774206665656c206c696b65206f6e652e205265766965772053656e74696d656e743a,d003db5ee542fecdbba96b9f4b2659b290e33d7336afc15be1a44e65442d037b,"[50256, 14832, 8255, 25, 10320, 3212, 355, 1223, 4071, 11, 281, 2071, 3807, 326, 338, 523, 5508, 290, 13795, 306, 6515, 326, 340, 1595, 470, 1254, 588, 530, 13, 6602, 11352, 3681, 25]",33,26,33
sst-6,test,1,tigges,True,0.59722,The film provides some great insight into the neurotic mindset of all comics--even those who have reached the absolute top of the game.,Review Text: The film provides some great insight into the neurotic mindset of all comics--even those who have reached the absolute top of the game. Review Sentiment:,'Review Text: The film provides some great insight into the neurotic mindset of all comics--even those who have reached the absolute top of the game. Review Sentiment:',52657669657720546578743a205468652066696c6d2070726f766964657320736f6d6520677265617420696e736967687420696e746f20746865206e6575726f746963206d696e64736574206f6620616c6c20636f6d6963732d2d6576656e2074686f73652077686f2068617665207265616368656420746865206162736f6c75746520746f70206f66207468652067616d652e205265766965772053656e74696d656e743a,002ba9e22ca996a44d5d1c2e8d584f4c1456454c70371d9518967e82e6be3f9d,"[50256, 14832, 8255, 25, 383, 2646, 3769, 617, 1049, 11281, 656, 262, 7669, 13370, 20527, 286, 477, 12770, 438, 10197, 883, 508, 423, 4251, 262, 4112, 1353, 286, 262, 983, 13, 6602, 11352, 3681, 25]",35,28,35
sst-7,test,1,tigges,True,0.83333,Offers that rare combination of entertainment and education.,Review Text: Offers that rare combination of entertainment and education. Review Sentiment:,'Review Text: Offers that rare combination of entertainment and education. Review Sentiment:',52657669657720546578743a204f66666572732074686174207261726520636f6d62696e6174696f6e206f6620656e7465727461696e6d656e7420616e6420656475636174696f6e2e205265766965772053656e74696d656e743a,19f4c4ed28af87cb3c9c793c8f61a49628939997bb7d8080ae8273cfb1909415,"[50256, 14832, 8255, 25, 3242, 364, 326, 4071, 6087, 286, 9739, 290, 3707, 13, 6602, 11352, 3681, 25]",18,11,18
sst-8,test,1,tigges,True,0.69444,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions.,Review Text: Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions. Review Sentiment:,'Review Text: Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions. Review Sentiment:',52657669657720546578743a2050657268617073206e6f20706963747572652065766572206d61646520686173206d6f7265206c69746572616c6c792073686f77656420746861742074686520726f616420746f2068656c6c206973207061766564207769746820676f6f6420696e74656e74696f6e732e205265766965772053656e74696d656e743a,cce4ad88c105d27f695be48ac4ee740c7fe734c1deff05680db4703624356d81,"[50256, 14832, 8255, 25, 8673, 645, 4286, 1683, 925, 468, 517, 7360, 3751, 326, 262, 2975, 284, 5968, 318, 31285, 351, 922, 14953, 13, 6602, 11352, 3681, 25]",28,21,28
sst-10,test,1,tigges,True,0.73611,But he somehow pulls it off.,Review Text: But he somehow pulls it off. Review Sentiment:,'Review Text: But he somehow pulls it off. Review Sentiment:',52657669657720546578743a2042757420686520736f6d65686f772070756c6c73206974206f66662e205265766965772053656e74696d656e743a,9c5dd087731592193f690c00cfe18875fc0fc258f2344f6a056f53079e8a741c,"[50256, 14832, 8255, 25, 887, 339, 7599, 16194, 340, 572, 13, 6602, 11352, 3681, 25]",15,8,15
sst-11,test,1,tigges,True,0.76389,Take Care of My Cat offers a refreshingly different slice of Asian cinema.,Review Text: Take Care of My Cat offers a refreshingly different slice of Asian cinema. Review Sentiment:,'Review Text: Take Care of My Cat offers a refreshingly different slice of Asian cinema. Review Sentiment:',52657669657720546578743a2054616b652043617265206f66204d7920436174206f666665727320612072656672657368696e676c7920646966666572656e7420736c696365206f6620417369616e2063696e656d612e205265766965772053656e74696d656e743a,a0ab81beeed34e3bddc106271d0443317dc8630b98b7e1f79cc75deeedad4cc2,"[50256, 14832, 8255, 25, 7214, 7276, 286, 2011, 5181, 4394, 257, 23056, 306, 1180, 16416, 286, 7740, 22041, 13, 6602, 11352, 3681, 25]",23,16,23
sst-12,test,1,tigges,True,0.90278,"This is a film well worth seeing, talking and singing heads and all.","Review Text: This is a film well worth seeing, talking and singing heads and all. Review Sentiment:","'Review Text: This is a film well worth seeing, talking and singing heads and all. Review Sentiment:'",52657669657720546578743a205468697320697320612066696c6d2077656c6c20776f72746820736565696e672c2074616c6b696e6720616e642073696e67696e6720686561647320616e6420616c6c2e205265766965772053656e74696d656e743a,bf4d0e4281e09be1ed776363cbe9f051ff6e3da6c2aea0e0f8189f2096caa644,"[50256, 14832, 8255, 25, 770, 318, 257, 2646, 880, 2861, 4379, 11, 3375, 290, 13777, 6665, 290, 477, 13, 6602, 11352, 3681, 25]",23,16,23
sst-13,test,1,tigges,True,0.625,What really surprises about Wisegirls is its low-key quality and genuine tenderness.,Review Text: What really surprises about Wisegirls is its low-key quality and genuine tenderness. Review Sentiment:,'Review Text: What really surprises about Wisegirls is its low-key quality and genuine tenderness. Review Sentiment:',52657669657720546578743a2057686174207265616c6c79207375727072697365732061626f757420576973656769726c7320697320697473206c6f772d6b6579207175616c69747920616e642067656e75696e652074656e6465726e6573732e205265766965772053656e74696d656e743a,c1b79234081248a09539674479c633473a0345cdeb15d2449052113cd88312b6,"[50256, 14832, 8255, 25, 1867, 1107, 24072, 546, 28908, 36960, 318, 663, 1877, 12, 2539, 3081, 290, 8768, 15403, 1108, 13, 6602, 11352, 3681, 25]",25,18,25
