model,method,layer,dataset,clean_id,corrupted_id,clean_label,corrupted_label,clean_logit_diff,corrupted_logit_diff,patched_logit_diff,clean_margin,corrupted_margin,patched_margin,recovery,recovery_percent,flipped
gpt2-small,mean_diff,0,toy_test,toy-test-pos-000,toy-test-neg-000,1,0,1.9727309942245483,0.4060928225517273,1.5902130603790283,1.9727309942245483,0.4060928225517273,1.5902130603790283,0.7558351757527547,75.58351757527548,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-000,toy-test-pos-001,0,1,0.4060928225517273,2.5448334217071533,2.006579637527466,-0.4060928225517273,-2.5448334217071533,-2.006579637527466,0.2516685681247367,25.166856812473668,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-001,toy-test-neg-001,1,0,2.5448334217071533,-2.218186855316162,1.228022813796997,2.5448334217071533,-2.218186855316162,1.228022813796997,0.7235345366337372,72.35345366337373,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-001,toy-test-pos-002,0,1,-2.218186855316162,2.742598056793213,2.0887115001678467,2.218186855316162,-2.742598056793213,-2.0887115001678467,0.13181110816339084,13.181110816339086,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-002,toy-test-neg-002,1,0,2.742598056793213,-0.58892822265625,1.1375396251678467,2.742598056793213,-0.58892822265625,1.1375396251678467,0.5182212904859321,51.82212904859321,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-002,toy-test-pos-003,0,1,-0.58892822265625,2.9197967052459717,0.5820831060409546,0.58892822265625,-2.9197967052459717,-0.5820831060409546,0.6662573006549924,66.62573006549924,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-003,toy-test-neg-003,1,0,2.9197967052459717,-0.9988128542900085,1.6205291748046875,2.9197967052459717,-0.9988128542900085,1.6205291748046875,0.6684365944855358,66.84365944855358,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-003,toy-test-pos-004,0,1,-0.9988128542900085,2.6732146739959717,0.42533570528030396,0.9988128542900085,-2.6732146739959717,-0.42533570528030396,0.6121628858716446,61.21628858716446,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-004,toy-test-neg-004,1,0,2.6732146739959717,-0.011444091796875,0.9882614016532898,2.6732146739959717,-0.011444091796875,0.9882614016532898,0.3723771177879759,37.23771177879759,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-004,toy-test-pos-005,0,1,-0.011444091796875,3.280438184738159,2.999314785003662,0.011444091796875,-3.280438184738159,-2.999314785003662,0.08539898335319622,8.539898335319622,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-005,toy-test-neg-005,1,0,3.280438184738159,-0.8335037231445312,0.3979553282260895,3.280438184738159,-0.8335037231445312,0.3979553282260895,0.2993379777704279,29.933797777042795,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-005,toy-test-pos-006,0,1,-0.8335037231445312,1.9624038934707642,1.5802475214004517,0.8335037231445312,-1.9624038934707642,-1.5802475214004517,0.13668419149447725,13.668419149447724,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-006,toy-test-neg-006,1,0,1.9624038934707642,-0.3979431092739105,1.3456954956054688,1.9624038934707642,-0.3979431092739105,1.3456954956054688,0.7387212993902293,73.87212993902293,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-006,toy-test-pos-007,0,1,-0.3979431092739105,2.788996934890747,0.12748107314109802,0.3979431092739105,-2.788996934890747,-0.12748107314109802,0.8351320780643271,83.51320780643272,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-007,toy-test-neg-007,1,0,2.788996934890747,0.4975433349609375,2.2817320823669434,2.788996934890747,0.4975433349609375,2.2817320823669434,0.7786274823372632,77.86274823372632,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-007,toy-test-pos-008,0,1,0.4975433349609375,2.350266933441162,1.4366943836212158,-0.4975433349609375,-2.350266933441162,-1.4366943836212158,0.4930970548274676,49.30970548274676,0.0
