example_id,split,label,retained,prompt_text,prompt_repr,prompt_utf8_hex,prompt_sha256,token_ids,num_tokens,focus_position,adjective,verb
toy-train-pos-000,train,1,True,"I thought this movie was adequate, I enjoyed it. 
Conclusion: This movie is","'I thought this movie was adequate, I enjoyed it. \nConclusion: This movie is'",492074686f756768742074686973206d6f766965207761732061646571756174652c204920656e6a6f7965642069742e200a436f6e636c7573696f6e3a2054686973206d6f766965206973,777f8c5e413237085c99ea450a6c9ea268e90d1ae718cecf42d006bdb8615e95,"[40, 3381, 419, 5700, 572, 25532, 11, 358, 14006, 432, 13, 715, 43434, 25, 1096, 5700, 374]",17,5,adequate,enjoyed
toy-train-pos-001,train,1,True,"I thought this movie was amazing, I loved it. 
Conclusion: This movie is","'I thought this movie was amazing, I loved it. \nConclusion: This movie is'",492074686f756768742074686973206d6f7669652077617320616d617a696e672c2049206c6f7665642069742e200a436f6e636c7573696f6e3a2054686973206d6f766965206973,2f3aaecef7f086c9bfd26b85a34ecdc5640448a071c16e9f2b05648608f2b130,"[40, 3381, 419, 5700, 572, 7897, 11, 358, 10245, 432, 13, 715, 43434, 25, 1096, 5700, 374]",17,5,amazing,loved
toy-train-pos-002,train,1,True,"I thought this movie was awesome, I liked it. 
Conclusion: This movie is","'I thought this movie was awesome, I liked it. \nConclusion: This movie is'",492074686f756768742074686973206d6f7669652077617320617765736f6d652c2049206c696b65642069742e200a436f6e636c7573696f6e3a2054686973206d6f766965206973,1068b25c6dfc221ab3269d93aa2cfe794cece10e4a6362c459d4c4abd819941e,"[40, 3381, 419, 5700, 572, 12456, 11, 358, 14915, 432, 13, 715, 43434, 25, 1096, 5700, 374]",17,5,awesome,liked
toy-train-pos-003,train,1,True,"I thought this movie was beautiful, I appreciated it. 
Conclusion: This movie is","'I thought this movie was beautiful, I appreciated it. \nConclusion: This movie is'",492074686f756768742074686973206d6f766965207761732062656175746966756c2c20492061707072656369617465642069742e200a436f6e636c7573696f6e3a2054686973206d6f766965206973,74a299535ed89cef1054b821a2294c14375d9bff5db127989fb36cd5f3c4cddc,"[40, 3381, 419, 5700, 572, 6233, 11, 358, 25808, 432, 13, 715, 43434, 25, 1096, 5700, 374]",17,5,beautiful,appreciated
toy-train-pos-004,train,1,True,"I thought this movie was brilliant, I admired it. 
Conclusion: This movie is","'I thought this movie was brilliant, I admired it. \nConclusion: This movie is'",492074686f756768742074686973206d6f76696520776173206272696c6c69616e742c20492061646d697265642069742e200a436f6e636c7573696f6e3a2054686973206d6f766965206973,a6c66b506260eaa4acbccc61a7a9264b2c7682cb0f55763d89ea9c959ead560a,"[40, 3381, 419, 5700, 572, 19752, 11, 358, 63647, 432, 13, 715, 43434, 25, 1096, 5700, 374]",17,5,brilliant,admired
toy-train-pos-005,train,1,True,"I thought this movie was charming, I enjoyed it. 
Conclusion: This movie is","'I thought this movie was charming, I enjoyed it. \nConclusion: This movie is'",492074686f756768742074686973206d6f7669652077617320636861726d696e672c204920656e6a6f7965642069742e200a436f6e636c7573696f6e3a2054686973206d6f766965206973,0f7d3cee7a9bbf650326001829a13cae033c3f9931f280cc8ab87806d88431c5,"[40, 3381, 419, 5700, 572, 34409, 11, 358, 14006, 432, 13, 715, 43434, 25, 1096, 5700, 374]",17,5,charming,enjoyed
toy-train-pos-006,train,1,True,"I thought this movie was cheerful, I loved it. 
Conclusion: This movie is","'I thought this movie was cheerful, I loved it. \nConclusion: This movie is'",492074686f756768742074686973206d6f7669652077617320636865657266756c2c2049206c6f7665642069742e200a436f6e636c7573696f6e3a2054686973206d6f766965206973,8272d47be9ec112c34006582f771691f58c40834398141bff93f7e2d609a988f,"[40, 3381, 419, 5700, 572, 70314, 11, 358, 10245, 432, 13, 715, 43434, 25, 1096, 5700, 374]",17,5,cheerful,loved
toy-train-pos-007,train,1,True,"I thought this movie was decent, I liked it. 
Conclusion: This movie is","'I thought this movie was decent, I liked it. \nConclusion: This movie is'",492074686f756768742074686973206d6f7669652077617320646563656e742c2049206c696b65642069742e200a436f6e636c7573696f6e3a2054686973206d6f766965206973,5243e7a12cc5cd076d43703f2a134bda812b39bf048b7e528eee481b1dd819c4,"[40, 3381, 419, 5700, 572, 14977, 11, 358, 14915, 432, 13, 715, 43434, 25, 1096, 5700, 374]",17,5,decent,liked
toy-train-pos-008,train,1,True,"I thought this movie was delightful, I appreciated it. 
Conclusion: This movie is","'I thought this movie was delightful, I appreciated it. \nConclusion: This movie is'",492074686f756768742074686973206d6f766965207761732064656c6967687466756c2c20492061707072656369617465642069742e200a436f6e636c7573696f6e3a2054686973206d6f766965206973,9efbab5d640e17be02b3bcd63b8367e28a43aa5c5a24a016f1547c479b4b4dca,"[40, 3381, 419, 5700, 572, 49089, 11, 358, 25808, 432, 13, 715, 43434, 25, 1096, 5700, 374]",17,5,delightful,appreciated
toy-train-pos-009,train,1,True,"I thought this movie was excellent, I admired it. 
Conclusion: This movie is","'I thought this movie was excellent, I admired it. \nConclusion: This movie is'",492074686f756768742074686973206d6f7669652077617320657863656c6c656e742c20492061646d697265642069742e200a436f6e636c7573696f6e3a2054686973206d6f766965206973,bc5d8bcc510da95b52d2fd4c53c277c8375994d72b2d0cc55e1128f3b8806638,"[40, 3381, 419, 5700, 572, 9073, 11, 358, 63647, 432, 13, 715, 43434, 25, 1096, 5700, 374]",17,5,excellent,admired
