split,label,word_type,word,retained,token_ids,num_tokens
train,1,adjective,adequate,True,[12872],1
train,1,adjective,amazing,True,[4998],1
train,1,adjective,awesome,True,[7427],1
train,1,adjective,beautiful,True,[4950],1
train,1,adjective,brilliant,True,[10457],1
train,1,adjective,charming,True,[23332],1
train,1,adjective,cheerful,True,[37999],1
train,1,adjective,decent,True,[7709],1
train,1,adjective,delightful,True,[32327],1
train,1,adjective,excellent,True,[6275],1
train,1,adjective,exceptional,True,[15313],1
train,1,adjective,fabulous,True,[28294],1
train,1,adjective,fantastic,True,[9623],1
train,1,adjective,good,True,[922],1
train,1,adjective,great,True,[1049],1
train,1,adjective,incredible,True,[8082],1
train,1,adjective,extraordinary,True,[11359],1
train,1,adjective,lovely,True,[14081],1
train,1,adjective,nice,True,[3621],1
train,1,adjective,outstanding,True,[11660],1
train,1,adjective,perfect,True,[2818],1
train,1,adjective,pleasant,True,[15497],1
train,1,adjective,positive,True,[3967],1
train,1,adjective,remarkable,True,[11004],1
train,1,adjective,satisfactory,True,[29962],1
train,1,adjective,satisfying,True,[19201],1
train,1,adjective,splendid,True,[37196],1
train,1,adjective,spectacular,True,[15013],1
train,1,adjective,superb,True,[21840],1
train,1,adjective,terrific,True,[23754],1
train,1,adjective,wonderful,True,[7932],1
train,0,adjective,annoying,True,[15774],1
train,0,adjective,awful,True,[12659],1
train,0,adjective,bad,True,[2089],1
train,0,adjective,boring,True,[14262],1
train,0,adjective,depressing,True,[31193],1
train,0,adjective,disastrous,True,[20756],1
train,0,adjective,disgusting,True,[23374],1
train,0,adjective,dire,True,[19958],1
train,0,adjective,dreadful,True,[35483],1
train,0,adjective,dull,True,[19222],1
train,0,adjective,frustrating,True,[16655],1
train,0,adjective,horrific,True,[19447],1
train,0,adjective,horrible,True,[12361],1
train,0,adjective,inadequate,True,[20577],1
train,0,adjective,inferior,True,[18536],1
train,0,adjective,miserable,True,[22444],1
train,0,adjective,nasty,True,[17166],1
train,0,adjective,offensive,True,[5859],1
train,0,adjective,disappointing,True,[17185],1
train,0,adjective,terrible,True,[7818],1
train,0,adjective,tragic,True,[15444],1
train,0,adjective,ugly,True,[13400],1
train,0,adjective,unpleasant,True,[22029],1
train,0,adjective,wretched,True,[41857],1
test,1,adjective,admirable,True,[37959],1
test,1,adjective,glorious,True,[21140],1
test,1,adjective,helpful,True,[7613],1
test,1,adjective,impressive,True,[8036],1
test,1,adjective,lively,True,[29696],1
test,1,adjective,magical,True,[10883],1
test,1,adjective,modern,True,[3660],1
test,1,adjective,phenomenal,True,[28187],1
test,1,adjective,pleasing,True,[28790],1
test,1,adjective,radiant,True,[43888],1
test,1,adjective,crisp,True,[23453],1
test,1,adjective,strong,True,[1913],1
test,1,adjective,stunning,True,[13393],1
test,1,adjective,sweet,True,[6029],1
test,1,adjective,vivid,True,[21002],1
test,1,adjective,warm,True,[5814],1
test,0,adjective,ancient,True,[6156],1
test,0,adjective,appalling,True,[34130],1
test,0,adjective,bitter,True,[12922],1
test,0,adjective,dismal,True,[39656],1
test,0,adjective,flat,True,[6228],1
test,0,adjective,foul,True,[15626],1
test,0,adjective,grim,True,[18288],1
test,0,adjective,lazy,True,[16931],1
test,0,adjective,noisy,True,[31210],1
test,0,adjective,poor,True,[3595],1
test,0,adjective,rough,True,[5210],1
test,0,adjective,rotten,True,[36371],1
test,0,adjective,sour,True,[11348],1
test,0,adjective,vile,True,[34942],1
all,1,verb,enjoyed,True,[8359],1
all,1,verb,loved,True,[6151],1
all,1,verb,liked,True,[8288],1
all,1,verb,appreciated,True,[16373],1
all,1,verb,admired,True,[29382],1
all,0,verb,hated,True,[16563],1
all,0,verb,disliked,True,[43252],1
all,0,verb,despised,True,[44990],1
