model,layer,method_a,method_b,absolute_cosine
gpt2-small,0,mean_diff,mean_diff,0.99999994
gpt2-small,0,mean_diff,kmeans,0.99999994
gpt2-small,0,mean_diff,logistic_regression,0.986267
gpt2-small,0,mean_diff,pca,0.935781
gpt2-small,0,mean_diff,das,0.39082605
gpt2-small,0,kmeans,mean_diff,0.99999994
gpt2-small,0,kmeans,kmeans,0.99999994
gpt2-small,0,kmeans,logistic_regression,0.986267
gpt2-small,0,kmeans,pca,0.935781
gpt2-small,0,kmeans,das,0.39082605
gpt2-small,0,logistic_regression,mean_diff,0.986267
gpt2-small,0,logistic_regression,kmeans,0.986267
gpt2-small,0,logistic_regression,logistic_regression,1.0
gpt2-small,0,logistic_regression,pca,0.88146675
gpt2-small,0,logistic_regression,das,0.37671277
gpt2-small,0,pca,mean_diff,0.935781
gpt2-small,0,pca,kmeans,0.935781
gpt2-small,0,pca,logistic_regression,0.88146675
gpt2-small,0,pca,pca,1.0000002
gpt2-small,0,pca,das,0.37101597
gpt2-small,0,das,mean_diff,0.39082605
gpt2-small,0,das,kmeans,0.39082605
gpt2-small,0,das,logistic_regression,0.37671277
gpt2-small,0,das,pca,0.37101597
gpt2-small,0,das,das,0.9999999
