dataset,pair_index,clean_id,corrupted_id,clean_label,corrupted_label,clean_text,corrupted_text,clean_sha256,corrupted_sha256,clean_token_ids,corrupted_token_ids,clean_num_tokens,corrupted_num_tokens,equal_token_length
toy_train,0,toy-train-pos-000,toy-train-neg-000,1,0,"I thought this movie was adequate, I enjoyed it. 
Conclusion: This movie is","I thought this movie was annoying, I hated it. 
Conclusion: This movie is",777f8c5e413237085c99ea450a6c9ea268e90d1ae718cecf42d006bdb8615e95,958748e6949c4945f6f9f841d496397aeec200c07eaa7457df3ce7e1308c9859,"[50256, 40, 1807, 428, 3807, 373, 12872, 11, 314, 8359, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]","[50256, 40, 1807, 428, 3807, 373, 15774, 11, 314, 16563, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]",19,19,True
toy_train,1,toy-train-neg-000,toy-train-pos-001,0,1,"I thought this movie was annoying, I hated it. 
Conclusion: This movie is","I thought this movie was amazing, I loved it. 
Conclusion: This movie is",958748e6949c4945f6f9f841d496397aeec200c07eaa7457df3ce7e1308c9859,2f3aaecef7f086c9bfd26b85a34ecdc5640448a071c16e9f2b05648608f2b130,"[50256, 40, 1807, 428, 3807, 373, 15774, 11, 314, 16563, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]","[50256, 40, 1807, 428, 3807, 373, 4998, 11, 314, 6151, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]",19,19,True
toy_train,2,toy-train-pos-001,toy-train-neg-001,1,0,"I thought this movie was amazing, I loved it. 
Conclusion: This movie is","I thought this movie was awful, I disliked it. 
Conclusion: This movie is",2f3aaecef7f086c9bfd26b85a34ecdc5640448a071c16e9f2b05648608f2b130,4b10b87a6258f566760a4efe1abcf0cb6efb7d72f3eb641be7a4a4ebbb3a15e7,"[50256, 40, 1807, 428, 3807, 373, 4998, 11, 314, 6151, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]","[50256, 40, 1807, 428, 3807, 373, 12659, 11, 314, 43252, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]",19,19,True
toy_train,3,toy-train-neg-001,toy-train-pos-002,0,1,"I thought this movie was awful, I disliked it. 
Conclusion: This movie is","I thought this movie was awesome, I liked it. 
Conclusion: This movie is",4b10b87a6258f566760a4efe1abcf0cb6efb7d72f3eb641be7a4a4ebbb3a15e7,1068b25c6dfc221ab3269d93aa2cfe794cece10e4a6362c459d4c4abd819941e,"[50256, 40, 1807, 428, 3807, 373, 12659, 11, 314, 43252, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]","[50256, 40, 1807, 428, 3807, 373, 7427, 11, 314, 8288, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]",19,19,True
toy_train,4,toy-train-pos-002,toy-train-neg-002,1,0,"I thought this movie was awesome, I liked it. 
Conclusion: This movie is","I thought this movie was bad, I despised it. 
Conclusion: This movie is",1068b25c6dfc221ab3269d93aa2cfe794cece10e4a6362c459d4c4abd819941e,ca1873a979d0a95f44d6d796bee17bfe3e94751a4ee3a2d90476392f1b92a957,"[50256, 40, 1807, 428, 3807, 373, 7427, 11, 314, 8288, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]","[50256, 40, 1807, 428, 3807, 373, 2089, 11, 314, 44990, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]",19,19,True
toy_train,5,toy-train-neg-002,toy-train-pos-003,0,1,"I thought this movie was bad, I despised it. 
Conclusion: This movie is","I thought this movie was beautiful, I appreciated it. 
Conclusion: This movie is",ca1873a979d0a95f44d6d796bee17bfe3e94751a4ee3a2d90476392f1b92a957,74a299535ed89cef1054b821a2294c14375d9bff5db127989fb36cd5f3c4cddc,"[50256, 40, 1807, 428, 3807, 373, 2089, 11, 314, 44990, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]","[50256, 40, 1807, 428, 3807, 373, 4950, 11, 314, 16373, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]",19,19,True
toy_train,6,toy-train-pos-003,toy-train-neg-003,1,0,"I thought this movie was beautiful, I appreciated it. 
Conclusion: This movie is","I thought this movie was boring, I hated it. 
Conclusion: This movie is",74a299535ed89cef1054b821a2294c14375d9bff5db127989fb36cd5f3c4cddc,985bad9d0f1cec9cca1b4a6ec4f8399b84e8b10a166f26eac3a2dbe1ca89f4f0,"[50256, 40, 1807, 428, 3807, 373, 4950, 11, 314, 16373, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]","[50256, 40, 1807, 428, 3807, 373, 14262, 11, 314, 16563, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]",19,19,True
toy_train,7,toy-train-neg-003,toy-train-pos-004,0,1,"I thought this movie was boring, I hated it. 
Conclusion: This movie is","I thought this movie was brilliant, I admired it. 
Conclusion: This movie is",985bad9d0f1cec9cca1b4a6ec4f8399b84e8b10a166f26eac3a2dbe1ca89f4f0,a6c66b506260eaa4acbccc61a7a9264b2c7682cb0f55763d89ea9c959ead560a,"[50256, 40, 1807, 428, 3807, 373, 14262, 11, 314, 16563, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]","[50256, 40, 1807, 428, 3807, 373, 10457, 11, 314, 29382, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]",19,19,True
toy_train,8,toy-train-pos-004,toy-train-neg-004,1,0,"I thought this movie was brilliant, I admired it. 
Conclusion: This movie is","I thought this movie was depressing, I disliked it. 
Conclusion: This movie is",a6c66b506260eaa4acbccc61a7a9264b2c7682cb0f55763d89ea9c959ead560a,b6e18cbda68bd41c2b2aeb1c3c0acfc0c3a0eefb779a98b98d7a81f1538ddde3,"[50256, 40, 1807, 428, 3807, 373, 10457, 11, 314, 29382, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]","[50256, 40, 1807, 428, 3807, 373, 31193, 11, 314, 43252, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]",19,19,True
toy_train,9,toy-train-neg-004,toy-train-pos-005,0,1,"I thought this movie was depressing, I disliked it. 
Conclusion: This movie is","I thought this movie was charming, I enjoyed it. 
Conclusion: This movie is",b6e18cbda68bd41c2b2aeb1c3c0acfc0c3a0eefb779a98b98d7a81f1538ddde3,0f7d3cee7a9bbf650326001829a13cae033c3f9931f280cc8ab87806d88431c5,"[50256, 40, 1807, 428, 3807, 373, 31193, 11, 314, 43252, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]","[50256, 40, 1807, 428, 3807, 373, 23332, 11, 314, 8359, 340, 13, 220, 198, 21481, 25, 770, 3807, 318]",19,19,True
