model,method,dataset,metric,metric_column,layer,value_percent
gpt2-small,das,toy_movie_review,logit_difference,toy_logit_diff_percent,0,7.482001667101894
gpt2-small,das,toy_movie_review,logit_flip,toy_logit_flip_percent,0,0.0
gpt2-small,das,sst,logit_difference,sst_logit_diff_percent,0,2.5671426255022096
gpt2-small,das,sst,logit_flip,sst_logit_flip_percent,0,0.0
gpt2-small,kmeans,toy_movie_review,logit_difference,toy_logit_diff_percent,0,49.76028476957985
gpt2-small,kmeans,toy_movie_review,logit_flip,toy_logit_flip_percent,0,42.85714328289032
gpt2-small,kmeans,sst,logit_difference,sst_logit_diff_percent,0,31.978331238338363
gpt2-small,kmeans,sst,logit_flip,sst_logit_flip_percent,0,20.0
gpt2-small,logistic_regression,toy_movie_review,logit_difference,toy_logit_diff_percent,0,48.81318818242777
gpt2-small,logistic_regression,toy_movie_review,logit_flip,toy_logit_flip_percent,0,46.42857015132904
gpt2-small,logistic_regression,sst,logit_difference,sst_logit_diff_percent,0,32.391116851751505
gpt2-small,logistic_regression,sst,logit_flip,sst_logit_flip_percent,0,16.666666666666664
gpt2-small,mean_diff,toy_movie_review,logit_difference,toy_logit_diff_percent,0,49.76028476957985
gpt2-small,mean_diff,toy_movie_review,logit_flip,toy_logit_flip_percent,0,42.85714328289032
gpt2-small,mean_diff,sst,logit_difference,sst_logit_diff_percent,0,31.978331238338363
gpt2-small,mean_diff,sst,logit_flip,sst_logit_flip_percent,0,20.0
gpt2-small,pca,toy_movie_review,logit_difference,toy_logit_diff_percent,0,36.85352285283718
gpt2-small,pca,toy_movie_review,logit_flip,toy_logit_flip_percent,0,32.14285671710968
gpt2-small,pca,sst,logit_difference,sst_logit_diff_percent,0,22.459039037124604
gpt2-small,pca,sst,logit_flip,sst_logit_flip_percent,0,13.333333333333334
