model,method,dataset,metric,metric_column,layer,value_percent
qwen-0.6b,das,toy_movie_review,logit_difference,toy_logit_diff_percent,12,97.8126918806791
qwen-0.6b,das,toy_movie_review,logit_flip,toy_logit_flip_percent,11,100.0
qwen-0.6b,das,sst,logit_difference,sst_logit_diff_percent,17,48.45142943482713
qwen-0.6b,das,sst,logit_flip,sst_logit_flip_percent,17,50.48076794047074
qwen-0.6b,das2d,toy_movie_review,logit_difference,toy_logit_diff_percent,11,92.45995719641803
qwen-0.6b,das2d,toy_movie_review,logit_flip,toy_logit_flip_percent,11,100.0
qwen-0.6b,das2d,sst,logit_difference,sst_logit_diff_percent,17,49.96925914521863
qwen-0.6b,das2d,sst,logit_flip,sst_logit_flip_percent,17,53.84615048182
qwen-0.6b,das3d,toy_movie_review,logit_difference,toy_logit_diff_percent,11,95.8487345171007
qwen-0.6b,das3d,toy_movie_review,logit_flip,toy_logit_flip_percent,11,100.0
qwen-0.6b,das3d,sst,logit_difference,sst_logit_diff_percent,17,52.263295402293984
qwen-0.6b,das3d,sst,logit_flip,sst_logit_flip_percent,17,57.451920671233225
qwen-0.6b,kmeans,toy_movie_review,logit_difference,toy_logit_diff_percent,12,86.53728136708217
qwen-0.6b,kmeans,toy_movie_review,logit_flip,toy_logit_flip_percent,10,100.0
qwen-0.6b,kmeans,sst,logit_difference,sst_logit_diff_percent,14,52.08653549524583
qwen-0.6b,kmeans,sst,logit_flip,sst_logit_flip_percent,14,56.49038280227629
qwen-0.6b,logistic_regression,toy_movie_review,logit_difference,toy_logit_diff_percent,10,87.5231079454478
qwen-0.6b,logistic_regression,toy_movie_review,logit_flip,toy_logit_flip_percent,9,100.0
qwen-0.6b,logistic_regression,sst,logit_difference,sst_logit_diff_percent,14,51.94820153114769
qwen-0.6b,logistic_regression,sst,logit_flip,sst_logit_flip_percent,14,56.73077045034025
qwen-0.6b,mean_diff,toy_movie_review,logit_difference,toy_logit_diff_percent,10,87.27665335745532
qwen-0.6b,mean_diff,toy_movie_review,logit_flip,toy_logit_flip_percent,10,100.0
qwen-0.6b,mean_diff,sst,logit_difference,sst_logit_diff_percent,14,52.08653549524583
qwen-0.6b,mean_diff,sst,logit_flip,sst_logit_flip_percent,14,56.49038280227629
qwen-0.6b,pca,toy_movie_review,logit_difference,toy_logit_diff_percent,12,65.99661405667263
qwen-0.6b,pca,toy_movie_review,logit_flip,toy_logit_flip_percent,14,89.28571343421936
qwen-0.6b,pca,sst,logit_difference,sst_logit_diff_percent,14,37.62296334285609
qwen-0.6b,pca,sst,logit_flip,sst_logit_flip_percent,14,33.89423015848948
qwen-0.6b,random,toy_movie_review,logit_difference,toy_logit_diff_percent,27,0.8934112493657449
qwen-0.6b,random,toy_movie_review,logit_flip,toy_logit_flip_percent,0,0.0
qwen-0.6b,random,sst,logit_difference,sst_logit_diff_percent,24,0.8184767338900334
qwen-0.6b,random,sst,logit_flip,sst_logit_flip_percent,6,0.48076933208155687
