example_id,split,label,binarization_method,pythia_correct,sentiment_score,source_text,prompt_text,prompt_repr,prompt_utf8_hex,prompt_sha256,gpt2_token_ids,gpt2_num_tokens,pythia_raw_num_tokens,pythia_prompt_num_tokens
sst-3,test,1,tigges,True,0.51389,Effective but too-tepid biopic,Review Text: Effective but too-tepid biopic Review Sentiment:,'Review Text: Effective but too-tepid biopic Review Sentiment:',52657669657720546578743a204566666563746976652062757420746f6f2d74657069642062696f706963205265766965772053656e74696d656e743a,e3a6bfa73613add9f8014813523143264af36b2c5aa23f70c06334d9164995a5,"[19432, 2918, 25, 46923, 714, 2238, 48793, 10412, 6032, 24810, 10294, 23361, 3819, 25]",14,10,16
sst-4,test,1,tigges,True,0.73611,"If you sometimes like to go to the movies to have fun, Wasabi is a good place to start.","Review Text: If you sometimes like to go to the movies to have fun, Wasabi is a good place to start. Review Sentiment:","'Review Text: If you sometimes like to go to the movies to have fun, Wasabi is a good place to start. Review Sentiment:'",52657669657720546578743a20496620796f7520736f6d6574696d6573206c696b6520746f20676f20746f20746865206d6f7669657320746f20686176652066756e2c20576173616269206973206120676f6f6420706c61636520746f2073746172742e205265766965772053656e74696d656e743a,846008290e970f9f40889dbcface32de8c197917ff482e9a9a553c098071ef42,"[19432, 2918, 25, 1416, 498, 7025, 1075, 311, 728, 311, 279, 9508, 311, 614, 2464, 11, 14804, 25084, 374, 264, 1661, 1992, 311, 1191, 13, 10294, 23361, 3819, 25]",29,23,30
sst-5,test,1,tigges,True,0.86111,"Emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one.","Review Text: Emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one. Review Sentiment:","""Review Text: Emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one. Review Sentiment:""",52657669657720546578743a20456d657267657320617320736f6d657468696e6720726172652c20616e206973737565206d6f7669652074686174277320736f20686f6e65737420616e64206b65656e6c79206f62736572766564207468617420697420646f65736e2774206665656c206c696b65206f6e652e205265766965772053656e74696d656e743a,d003db5ee542fecdbba96b9f4b2659b290e33d7336afc15be1a44e65442d037b,"[19432, 2918, 25, 20543, 4188, 438, 2494, 8848, 11, 458, 4265, 5700, 429, 594, 773, 10745, 323, 26891, 398, 13166, 429, 432, 3171, 944, 2666, 1075, 825, 13, 10294, 23361, 3819, 25]",32,26,33
sst-6,test,1,tigges,True,0.59722,The film provides some great insight into the neurotic mindset of all comics--even those who have reached the absolute top of the game.,Review Text: The film provides some great insight into the neurotic mindset of all comics--even those who have reached the absolute top of the game. Review Sentiment:,'Review Text: The film provides some great insight into the neurotic mindset of all comics--even those who have reached the absolute top of the game. Review Sentiment:',52657669657720546578743a205468652066696c6d2070726f766964657320736f6d6520677265617420696e736967687420696e746f20746865206e6575726f746963206d696e64736574206f6620616c6c20636f6d6963732d2d6576656e2074686f73652077686f2068617665207265616368656420746865206162736f6c75746520746f70206f66207468652067616d652e205265766965772053656e74696d656e743a,002ba9e22ca996a44d5d1c2e8d584f4c1456454c70371d9518967e82e6be3f9d,"[19432, 2918, 25, 576, 4531, 5707, 1045, 2244, 20017, 1119, 279, 17773, 28050, 39443, 315, 678, 28059, 313, 16788, 1846, 879, 614, 8643, 279, 10740, 1909, 315, 279, 1809, 13, 10294, 23361, 3819, 25]",34,28,35
sst-7,test,1,tigges,True,0.83333,Offers that rare combination of entertainment and education.,Review Text: Offers that rare combination of entertainment and education. Review Sentiment:,'Review Text: Offers that rare combination of entertainment and education. Review Sentiment:',52657669657720546578743a204f66666572732074686174207261726520636f6d62696e6174696f6e206f6620656e7465727461696e6d656e7420616e6420656475636174696f6e2e205265766965772053656e74696d656e743a,19f4c4ed28af87cb3c9c793c8f61a49628939997bb7d8080ae8273cfb1909415,"[19432, 2918, 25, 51318, 429, 8848, 10601, 315, 16517, 323, 6731, 13, 10294, 23361, 3819, 25]",16,11,18
sst-8,test,1,tigges,True,0.69444,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions.,Review Text: Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions. Review Sentiment:,'Review Text: Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions. Review Sentiment:',52657669657720546578743a2050657268617073206e6f20706963747572652065766572206d61646520686173206d6f7265206c69746572616c6c792073686f77656420746861742074686520726f616420746f2068656c6c206973207061766564207769746820676f6f6420696e74656e74696f6e732e205265766965772053656e74696d656e743a,cce4ad88c105d27f695be48ac4ee740c7fe734c1deff05680db4703624356d81,"[19432, 2918, 25, 18765, 902, 6802, 3512, 1865, 702, 803, 15901, 8542, 429, 279, 5636, 311, 14780, 374, 62575, 448, 1661, 33234, 13, 10294, 23361, 3819, 25]",27,21,28
sst-10,test,1,tigges,True,0.73611,But he somehow pulls it off.,Review Text: But he somehow pulls it off. Review Sentiment:,'Review Text: But he somehow pulls it off. Review Sentiment:',52657669657720546578743a2042757420686520736f6d65686f772070756c6c73206974206f66662e205265766965772053656e74696d656e743a,9c5dd087731592193f690c00cfe18875fc0fc258f2344f6a056f53079e8a741c,"[19432, 2918, 25, 1988, 566, 16925, 33045, 432, 1007, 13, 10294, 23361, 3819, 25]",14,8,15
sst-11,test,1,tigges,True,0.76389,Take Care of My Cat offers a refreshingly different slice of Asian cinema.,Review Text: Take Care of My Cat offers a refreshingly different slice of Asian cinema. Review Sentiment:,'Review Text: Take Care of My Cat offers a refreshingly different slice of Asian cinema. Review Sentiment:',52657669657720546578743a2054616b652043617265206f66204d7920436174206f666665727320612072656672657368696e676c7920646966666572656e7420736c696365206f6620417369616e2063696e656d612e205265766965772053656e74696d656e743a,a0ab81beeed34e3bddc106271d0443317dc8630b98b7e1f79cc75deeedad4cc2,"[19432, 2918, 25, 11778, 10627, 315, 3017, 17358, 6081, 264, 10408, 11307, 2155, 15983, 315, 14533, 33192, 13, 10294, 23361, 3819, 25]",22,16,23
sst-12,test,1,tigges,True,0.90278,"This is a film well worth seeing, talking and singing heads and all.","Review Text: This is a film well worth seeing, talking and singing heads and all. Review Sentiment:","'Review Text: This is a film well worth seeing, talking and singing heads and all. Review Sentiment:'",52657669657720546578743a205468697320697320612066696c6d2077656c6c20776f72746820736565696e672c2074616c6b696e6720616e642073696e67696e6720686561647320616e6420616c6c2e205265766965772053656e74696d656e743a,bf4d0e4281e09be1ed776363cbe9f051ff6e3da6c2aea0e0f8189f2096caa644,"[19432, 2918, 25, 1096, 374, 264, 4531, 1632, 5802, 9120, 11, 7404, 323, 25083, 14629, 323, 678, 13, 10294, 23361, 3819, 25]",22,16,23
sst-13,test,1,tigges,True,0.625,What really surprises about Wisegirls is its low-key quality and genuine tenderness.,Review Text: What really surprises about Wisegirls is its low-key quality and genuine tenderness. Review Sentiment:,'Review Text: What really surprises about Wisegirls is its low-key quality and genuine tenderness. Review Sentiment:',52657669657720546578743a2057686174207265616c6c79207375727072697365732061626f757420576973656769726c7320697320697473206c6f772d6b6579207175616c69747920616e642067656e75696e652074656e6465726e6573732e205265766965772053656e74696d656e743a,c1b79234081248a09539674479c633473a0345cdeb15d2449052113cd88312b6,"[19432, 2918, 25, 3555, 2167, 45440, 911, 15830, 791, 2811, 82, 374, 1181, 3347, 16173, 4271, 323, 22011, 8376, 28568, 13, 10294, 23361, 3819, 25]",25,18,25
sst-15,test,1,tigges,True,0.93056,"One of the greatest family-oriented, fantasy-adventure movies ever.","Review Text: One of the greatest family-oriented, fantasy-adventure movies ever. Review Sentiment:","'Review Text: One of the greatest family-oriented, fantasy-adventure movies ever. Review Sentiment:'",52657669657720546578743a204f6e65206f66207468652067726561746573742066616d696c792d6f7269656e7465642c2066616e746173792d616476656e74757265206d6f7669657320657665722e205265766965772053656e74696d656e743a,8f736cb034f4b1a9c58dcdc112d190f5d4e4f096307fe3bce44edef0cf0e5ac4,"[19432, 2918, 25, 3776, 315, 279, 12196, 2997, 35085, 11, 18378, 25747, 44943, 9508, 3512, 13, 10294, 23361, 3819, 25]",20,17,24
sst-17,test,1,tigges,True,0.77778,An utterly compelling ` who wrote it' in which the reputation of the most famous author who ever lived comes into question.,Review Text: An utterly compelling ` who wrote it' in which the reputation of the most famous author who ever lived comes into question. Review Sentiment:,"""Review Text: An utterly compelling ` who wrote it' in which the reputation of the most famous author who ever lived comes into question. Review Sentiment:""",52657669657720546578743a20416e2075747465726c7920636f6d70656c6c696e6720602077686f2077726f74652069742720696e207768696368207468652072657075746174696f6e206f6620746865206d6f73742066616d6f757320617574686f722077686f2065766572206c6976656420636f6d657320696e746f207175657374696f6e2e205265766965772053656e74696d656e743a,4e92ee34f3bf29f03c51528c460a4a2c7e4c921824fa8cabc09cac5fcde27210,"[19432, 2918, 25, 1527, 37531, 28622, 1565, 879, 6139, 432, 6, 304, 892, 279, 17011, 315, 279, 1429, 11245, 3150, 879, 3512, 12163, 4041, 1119, 3405, 13, 10294, 23361, 3819, 25]",31,25,32
sst-19,test,1,tigges,True,0.97222,A masterpiece four years in the making.,Review Text: A masterpiece four years in the making. Review Sentiment:,'Review Text: A masterpiece four years in the making. Review Sentiment:',52657669657720546578743a2041206d6173746572706965636520666f757220796561727320696e20746865206d616b696e672e205265766965772053656e74696d656e743a,01c64d4b615930821564ef9e7e52e3d39e4cbe3c00b4ab842e8a141c843f015c,"[19432, 2918, 25, 362, 58731, 3040, 1635, 304, 279, 3259, 13, 10294, 23361, 3819, 25]",15,9,16
sst-20,test,1,tigges,True,0.76389,"The movie's ripe, enrapturing beauty will tempt those willing to probe its inscrutable mysteries.","Review Text: The movie's ripe, enrapturing beauty will tempt those willing to probe its inscrutable mysteries. Review Sentiment:","""Review Text: The movie's ripe, enrapturing beauty will tempt those willing to probe its inscrutable mysteries. Review Sentiment:""",52657669657720546578743a20546865206d6f766965277320726970652c20656e726170747572696e67206265617574792077696c6c2074656d70742074686f73652077696c6c696e6720746f2070726f62652069747320696e736372757461626c65206d79737465726965732e205265766965772053656e74696d656e743a,757d7cd55088fbcbd2cc2d20ee6b5a8009692a7f4ad83af5b3c1924794529eb7,"[19432, 2918, 25, 576, 5700, 594, 56696, 11, 80552, 2689, 1677, 13143, 686, 24983, 1846, 9831, 311, 21730, 1181, 1640, 5082, 5922, 56600, 13, 10294, 23361, 3819, 25]",28,23,30
sst-21,test,1,tigges,True,0.88889,Offers a breath of the fresh air of true sophistication.,Review Text: Offers a breath of the fresh air of true sophistication. Review Sentiment:,'Review Text: Offers a breath of the fresh air of true sophistication. Review Sentiment:',52657669657720546578743a204f6666657273206120627265617468206f662074686520667265736820616972206f66207472756520736f706869737469636174696f6e2e205265766965772053656e74696d656e743a,d21f84012a4ebfbd874a2658906fab63aa6b14752c6b50984764eee11f129ff8,"[19432, 2918, 25, 51318, 264, 11486, 315, 279, 7722, 3720, 315, 830, 84436, 13, 10294, 23361, 3819, 25]",18,14,21
sst-22,test,1,tigges,True,0.81944,"A thoughtful, provocative, insistently humanizing film.","Review Text: A thoughtful, provocative, insistently humanizing film. Review Sentiment:","'Review Text: A thoughtful, provocative, insistently humanizing film. Review Sentiment:'",52657669657720546578743a20412074686f7567687466756c2c2070726f766f6361746976652c20696e73697374656e746c792068756d616e697a696e672066696c6d2e205265766965772053656e74696d656e743a,ea7913255bebb3b35ad341367bd8858c62563bfe8c100fff1546300146158ba1,"[19432, 2918, 25, 362, 42666, 11, 65898, 11, 31162, 4402, 3738, 4849, 4531, 13, 10294, 23361, 3819, 25]",18,12,19
sst-23,test,1,tigges,True,0.86111,"With a cast that includes some of the top actors working in independent film, Lovely & Amazing involves us because it is so incisive, so bleakly amusing about how we go about our lives.","Review Text: With a cast that includes some of the top actors working in independent film, Lovely & Amazing involves us because it is so incisive, so bleakly amusing about how we go about our lives. Review Sentiment:","'Review Text: With a cast that includes some of the top actors working in independent film, Lovely & Amazing involves us because it is so incisive, so bleakly amusing about how we go about our lives. Review Sentiment:'",52657669657720546578743a205769746820612063617374207468617420696e636c7564657320736f6d65206f662074686520746f70206163746f727320776f726b696e6720696e20696e646570656e64656e742066696c6d2c204c6f76656c79202620416d617a696e6720696e766f6c766573207573206265636175736520697420697320736f20696e6369736976652c20736f20626c65616b6c7920616d7573696e672061626f757420686f7720776520676f2061626f7574206f7572206c697665732e205265766965772053656e74696d656e743a,70ed6711daf23428b9319c6ed50afb3cf33053fb6662792378683674e6777ba6,"[19432, 2918, 25, 3085, 264, 6311, 429, 5646, 1045, 315, 279, 1909, 19571, 3238, 304, 9489, 4531, 11, 64365, 609, 36533, 17601, 601, 1576, 432, 374, 773, 3625, 285, 533, 11, 773, 75267, 398, 59886, 911, 1246, 582, 728, 911, 1039, 6305, 13, 10294, 23361, 3819, 25]",47,42,49
sst-24,test,1,tigges,True,0.58333,A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass.,Review Text: A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass. Review Sentiment:,'Review Text: A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass. Review Sentiment:',52657669657720546578743a20412064697374757262696e6720616e6420667269676874656e696e676c792065766f63617469766520617373656d626c79206f6620696d616765727920616e64206879706e6f746963206d7573696320636f6d706f736564206279205068696c697020476c6173732e205265766965772053656e74696d656e743a,5badc30a2054b3fcabd14bbb095b616d6b43bb2970597d06c15d5717448391ab,"[19432, 2918, 25, 362, 33873, 323, 53639, 398, 3637, 509, 1388, 14614, 315, 40445, 323, 75451, 292, 4627, 23415, 553, 25179, 20734, 13, 10294, 23361, 3819, 25]",27,21,28
sst-25,test,1,tigges,True,0.73611,"Not for everyone, but for those with whom it will connect, it's a nice departure from standard moviegoing fare.","Review Text: Not for everyone, but for those with whom it will connect, it's a nice departure from standard moviegoing fare. Review Sentiment:","""Review Text: Not for everyone, but for those with whom it will connect, it's a nice departure from standard moviegoing fare. Review Sentiment:""",52657669657720546578743a204e6f7420666f722065766572796f6e652c2062757420666f722074686f736520776974682077686f6d2069742077696c6c20636f6e6e6563742c20697427732061206e696365206465706172747572652066726f6d207374616e64617264206d6f766965676f696e6720666172652e205265766965772053656e74696d656e743a,9b79abc589737fc999969502f62db041eed69d17d8e0c2628d8670076e136b2a,"[19432, 2918, 25, 2806, 369, 5019, 11, 714, 369, 1846, 448, 8711, 432, 686, 4564, 11, 432, 594, 264, 6419, 24915, 504, 5297, 5700, 9546, 20425, 13, 10294, 23361, 3819, 25]",31,25,32
sst-26,test,1,tigges,True,0.72222,Scores a few points for doing what it does with a dedicated and good-hearted professionalism.,Review Text: Scores a few points for doing what it does with a dedicated and good-hearted professionalism. Review Sentiment:,'Review Text: Scores a few points for doing what it does with a dedicated and good-hearted professionalism. Review Sentiment:',52657669657720546578743a2053636f72657320612066657720706f696e747320666f7220646f696e67207768617420697420646f6573207769746820612064656469636174656420616e6420676f6f642d686561727465642070726f66657373696f6e616c69736d2e205265766965772053656e74696d656e743a,57e70b12499c9dd911c6b4ff5625262d6587376e630fa94796c46c489eefa1db,"[19432, 2918, 25, 69994, 264, 2421, 3501, 369, 3730, 1128, 432, 1558, 448, 264, 12235, 323, 1661, 69295, 65329, 13, 10294, 23361, 3819, 25]",24,21,28
sst-27,test,1,tigges,True,0.77778,"Occasionally melodramatic, it's also extremely effective.","Review Text: Occasionally melodramatic, it's also extremely effective. Review Sentiment:","""Review Text: Occasionally melodramatic, it's also extremely effective. Review Sentiment:""",52657669657720546578743a204f63636173696f6e616c6c79206d656c6f6472616d617469632c206974277320616c736f2065787472656d656c79206566666563746976652e205265766965772053656e74696d656e743a,a7e4d7f69363206f66955cf36bac81f7316477a5b097ddd564ddbeac409ab1bc,"[19432, 2918, 25, 88326, 96274, 2396, 774, 11, 432, 594, 1083, 9016, 7373, 13, 10294, 23361, 3819, 25]",18,14,21
sst-28,test,1,tigges,True,0.68056,An idealistic love story that brings out the latent 15-year-old romantic in everyone.,Review Text: An idealistic love story that brings out the latent 15-year-old romantic in everyone. Review Sentiment:,'Review Text: An idealistic love story that brings out the latent 15-year-old romantic in everyone. Review Sentiment:',52657669657720546578743a20416e20696465616c6973746963206c6f76652073746f72792074686174206272696e6773206f757420746865206c6174656e742031352d796561722d6f6c6420726f6d616e74696320696e2065766572796f6e652e205265766965772053656e74696d656e743a,bc016d8cf117bc7300936e50f5940b6d6515dfb221f00115ae890aa1ccb90ef3,"[19432, 2918, 25, 1527, 10507, 4532, 2948, 3364, 429, 12434, 700, 279, 41667, 220, 16, 20, 4666, 6284, 23467, 304, 5019, 13, 10294, 23361, 3819, 25]",26,20,27
sst-29,test,1,tigges,True,0.73611,"At about 95 minutes, Treasure Planet maintains a brisk pace as it races through the familiar story.","Review Text: At about 95 minutes, Treasure Planet maintains a brisk pace as it races through the familiar story. Review Sentiment:","'Review Text: At about 95 minutes, Treasure Planet maintains a brisk pace as it races through the familiar story. Review Sentiment:'",52657669657720546578743a2041742061626f7574203935206d696e757465732c20547265617375726520506c616e6574206d61696e7461696e73206120627269736b2070616365206173206974207261636573207468726f756768207468652066616d696c6961722073746f72792e205265766965772053656e74696d656e743a,ea832911fcd40431c73be223de4b035d426c722355e3d1f1d01bd76da2855f07,"[19432, 2918, 25, 2411, 911, 220, 24, 20, 4420, 11, 57148, 28835, 31995, 264, 74391, 17857, 438, 432, 20588, 1526, 279, 11285, 3364, 13, 10294, 23361, 3819, 25]",28,20,27
sst-30,test,0,tigges,True,0.25,"However, it lacks grandeur and that epic quality often associated with Stevenson's tale as well as with earlier Disney efforts.","Review Text: However, it lacks grandeur and that epic quality often associated with Stevenson's tale as well as with earlier Disney efforts. Review Sentiment:","""Review Text: However, it lacks grandeur and that epic quality often associated with Stevenson's tale as well as with earlier Disney efforts. Review Sentiment:""",52657669657720546578743a20486f77657665722c206974206c61636b73206772616e6465757220616e6420746861742065706963207175616c697479206f6674656e206173736f63696174656420776974682053746576656e736f6e27732074616c652061732077656c6c2061732077697468206561726c696572204469736e6579206566666f7274732e205265766965772053656e74696d656e743a,e4cf6af10bd29bf01a977ef651ff9e1434526181ad88a253ec666790646ccd05,"[19432, 2918, 25, 4354, 11, 432, 36756, 6662, 12559, 323, 429, 24679, 4271, 3545, 5815, 448, 81948, 594, 23281, 438, 1632, 438, 448, 6788, 16390, 8869, 13, 10294, 23361, 3819, 25]",31,25,32
sst-31,test,1,tigges,True,0.76389,It helps that Lil Bow Wow... tones down his pint-sized gangsta act to play someone who resembles a real kid.,Review Text: It helps that Lil Bow Wow... tones down his pint-sized gangsta act to play someone who resembles a real kid. Review Sentiment:,'Review Text: It helps that Lil Bow Wow... tones down his pint-sized gangsta act to play someone who resembles a real kid. Review Sentiment:',52657669657720546578743a2049742068656c70732074686174204c696c20426f7720576f772e2e2e20746f6e657320646f776e206869732070696e742d73697a65642067616e677374612061637420746f20706c617920736f6d656f6e652077686f20726573656d626c65732061207265616c206b69642e205265766965772053656e74696d656e743a,a606e5eadff20ce40e3c6c2bbc7d3597afaf891233596dfe3e732579eaab6422,"[19432, 2918, 25, 1084, 8609, 429, 40478, 18436, 45717, 1112, 41976, 1495, 806, 45646, 27835, 13179, 20491, 1160, 311, 1486, 4325, 879, 52191, 264, 1931, 10369, 13, 10294, 23361, 3819, 25]",31,26,33
sst-32,test,1,tigges,True,0.83333,"Guaranteed to move anyone who ever shook, rattled, or rolled.","Review Text: Guaranteed to move anyone who ever shook, rattled, or rolled. Review Sentiment:","'Review Text: Guaranteed to move anyone who ever shook, rattled, or rolled. Review Sentiment:'",52657669657720546578743a2047756172616e7465656420746f206d6f766520616e796f6e652077686f20657665722073686f6f6b2c20726174746c65642c206f7220726f6c6c65642e205265766965772053656e74696d656e743a,ad6028f4cc37a670fe6d2b23081f79e869fa389622b31635eb3d675e55176f58,"[19432, 2918, 25, 80437, 311, 3271, 5489, 879, 3512, 34914, 11, 56545, 832, 11, 476, 22447, 13, 10294, 23361, 3819, 25]",21,17,23
sst-33,test,1,tigges,True,0.90278,"A masterful film from a master filmmaker, unique in its deceptive grimness, compelling in its fatalist worldview.","Review Text: A masterful film from a master filmmaker, unique in its deceptive grimness, compelling in its fatalist worldview. Review Sentiment:","'Review Text: A masterful film from a master filmmaker, unique in its deceptive grimness, compelling in its fatalist worldview. Review Sentiment:'",52657669657720546578743a2041206d617374657266756c2066696c6d2066726f6d2061206d61737465722066696c6d6d616b65722c20756e6971756520696e2069747320646563657074697665206772696d6e6573732c20636f6d70656c6c696e6720696e2069747320666174616c69737420776f726c64766965772e205265766965772053656e74696d656e743a,beb1a8f117e2debe94e0d182c837388e269567072d4236fee4d3d55681c01934,"[19432, 2918, 25, 362, 7341, 1262, 4531, 504, 264, 7341, 56237, 11, 4911, 304, 1181, 80274, 43417, 2090, 11, 28622, 304, 1181, 18582, 380, 77062, 13, 10294, 23361, 3819, 25]",30,25,32
sst-34,test,1,tigges,True,0.59722,"Light, cute and forgettable.","Review Text: Light, cute and forgettable. Review Sentiment:","'Review Text: Light, cute and forgettable. Review Sentiment:'",52657669657720546578743a204c696768742c206375746520616e6420666f726765747461626c652e205265766965772053656e74696d656e743a,5cce480faba04734d61a2ac74fae9064242ac31c6454a8f1636a05c77e59a77a,"[19432, 2918, 25, 8658, 11, 18838, 323, 10667, 2005, 13, 10294, 23361, 3819, 25]",14,8,15
