split,label,word_type,word,retained,token_ids,num_tokens
train,1,adjective,adequate,True,[25532],1
train,1,adjective,amazing,True,[7897],1
train,1,adjective,awesome,True,[12456],1
train,1,adjective,beautiful,True,[6233],1
train,1,adjective,brilliant,True,[19752],1
train,1,adjective,charming,True,[34409],1
train,1,adjective,cheerful,True,[70314],1
train,1,adjective,decent,True,[14977],1
train,1,adjective,delightful,True,[49089],1
train,1,adjective,excellent,True,[9073],1
train,1,adjective,exceptional,True,[24364],1
train,1,adjective,fabulous,True,[34531],1
train,1,adjective,fantastic,True,[14622],1
train,1,adjective,good,True,[1661],1
train,1,adjective,great,True,[2244],1
train,1,adjective,incredible,True,[15050],1
train,1,adjective,extraordinary,True,[23742],1
train,1,adjective,lovely,True,[16690],1
train,1,adjective,nice,True,[6419],1
train,1,adjective,outstanding,True,[18781],1
train,1,adjective,perfect,True,[4727],1
train,1,adjective,pleasant,True,[23795],1
train,1,adjective,positive,True,[6785],1
train,1,adjective,remarkable,True,[22804],1
train,1,adjective,satisfactory,True,[57731],1
train,1,adjective,satisfying,True,[36054],1
train,1,adjective,splendid,True,[69860],1
train,1,adjective,spectacular,True,[27709],1
train,1,adjective,superb,True,[32589],1
train,1,adjective,terrific,True,[42560],1
train,1,adjective,wonderful,True,[11117],1
train,0,adjective,annoying,True,[29831],1
train,0,adjective,awful,True,[24607],1
train,0,adjective,bad,True,[3873],1
train,0,adjective,boring,True,[27759],1
train,0,adjective,depressing,True,[70710],1
train,0,adjective,disastrous,True,[51957],1
train,0,adjective,disgusting,True,[53666],1
train,0,adjective,dire,True,[13207],1
train,0,adjective,dreadful,True,[80852],1
train,0,adjective,dull,True,[40530],1
train,0,adjective,frustrating,True,[34611],1
train,0,adjective,horrific,True,[46222],1
train,0,adjective,horrible,True,[27102],1
train,0,adjective,inadequate,True,[45479],1
train,0,adjective,inferior,True,[37179],1
train,0,adjective,miserable,True,[49639],1
train,0,adjective,nasty,True,[34407],1
train,0,adjective,offensive,True,[15183],1
train,0,adjective,disappointing,True,[38123],1
train,0,adjective,terrible,True,[17478],1
train,0,adjective,tragic,True,[34179],1
train,0,adjective,ugly,True,[27261],1
train,0,adjective,unpleasant,True,[46889],1
train,0,adjective,wretched,False,"[289, 61737]",2
test,1,adjective,admirable,True,[84584],1
test,1,adjective,glorious,True,[43208],1
test,1,adjective,helpful,True,[10950],1
test,1,adjective,impressive,True,[15978],1
test,1,adjective,lively,True,[48177],1
test,1,adjective,magical,True,[23702],1
test,1,adjective,modern,True,[6481],1
test,1,adjective,phenomenal,True,[56392],1
test,1,adjective,pleasing,True,[53699],1
test,1,adjective,radiant,True,[76343],1
test,1,adjective,crisp,True,[41854],1
test,1,adjective,strong,True,[3746],1
test,1,adjective,stunning,True,[19850],1
test,1,adjective,sweet,True,[10226],1
test,1,adjective,vivid,True,[42020],1
test,1,adjective,warm,True,[8205],1
test,0,adjective,ancient,True,[13833],1
test,0,adjective,appalling,True,[84805],1
test,0,adjective,bitter,True,[25180],1
test,0,adjective,dismal,True,[93453],1
test,0,adjective,flat,True,[10063],1
test,0,adjective,foul,True,[39784],1
test,0,adjective,grim,True,[43417],1
test,0,adjective,lazy,True,[15678],1
test,0,adjective,noisy,True,[49280],1
test,0,adjective,poor,True,[7852],1
test,0,adjective,rough,True,[11165],1
test,0,adjective,rotten,True,[77692],1
test,0,adjective,sour,True,[20282],1
test,0,adjective,vile,True,[80214],1
all,1,verb,enjoyed,True,[14006],1
all,1,verb,loved,True,[10245],1
all,1,verb,liked,True,[14915],1
all,1,verb,appreciated,True,[25808],1
all,1,verb,admired,True,[63647],1
all,0,verb,hated,True,[37574],1
all,0,verb,disliked,True,[98633],1
all,0,verb,despised,False,"[38960, 4056]",2
