model,method,layer,subspace_dimension,orientation_convention,orientation_reference,raw_orientation_dot,orientation_sign_flipped,artifact_path
gpt2-small,mean_diff,0,1,negative_to_positive,toy_train_class_mean_difference,2.3983564641339106,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer00.npz
gpt2-small,kmeans,0,1,negative_to_positive,toy_train_class_mean_difference,2.3983564641339106,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer00.npz
gpt2-small,logistic_regression,0,1,negative_to_positive,toy_train_class_mean_difference,4.949077168793854,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer00.npz
gpt2-small,pca,0,1,negative_to_positive,toy_train_class_mean_difference,-1.4492093757914586,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer00.npz
gpt2-small,das,0,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-1.374833345413208,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer00.npz
gpt2-small,das2d,0,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-1.0195701122283936,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer00.npz
gpt2-small,das3d,0,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-0.8184080719947815,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer00.npz
gpt2-small,random,0,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/a91b1f334ee12964/layer00.npz
gpt2-small,mean_diff,1,1,negative_to_positive,toy_train_class_mean_difference,321.28410306897445,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer01.npz
gpt2-small,kmeans,1,1,negative_to_positive,toy_train_class_mean_difference,315.55939113229306,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer01.npz
gpt2-small,logistic_regression,1,1,negative_to_positive,toy_train_class_mean_difference,13.120927889916839,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/logistic_regression/afccfd6565527fe3/layer01.npz
gpt2-small,pca,1,1,negative_to_positive,toy_train_class_mean_difference,16.393184510733143,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/pca/905042b50a3c366e/layer01.npz
gpt2-small,das,1,1,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-16.11170196533203,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das/2074fbeed424b2d8/layer01.npz
gpt2-small,das2d,1,2,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-11.406022071838379,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das2d/f4a34e15d1fd5dae/layer01.npz
gpt2-small,das3d,1,3,negative_to_positive_first_basis_vector,toy_train_class_mean_difference,-7.989378452301025,True,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/das3d/75099ba0376f695f/layer01.npz
gpt2-small,random,1,1,unoriented_random_control,,,,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/random/86508ac8d630634d/layer01.npz
gpt2-small,mean_diff,2,1,negative_to_positive,toy_train_class_mean_difference,396.0677883936694,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/mean_diff/905042b50a3c366e/layer02.npz
gpt2-small,kmeans,2,1,negative_to_positive,toy_train_class_mean_difference,348.9384033980393,False,/content/drive/MyDrive/sentiment-manifold/checkpoints/gpt2-small/reproduction/kmeans/524c6d6fb0e240b2/layer02.npz
