model,method,dataset,metric,metric_column,layer,value_percent
gpt2-small,das,toy_movie_review,logit_difference,toy_logit_diff_percent,6,97.46696134431058
gpt2-small,das,toy_movie_review,logit_flip,toy_logit_flip_percent,6,85.71428656578064
gpt2-small,das,sst,logit_difference,sst_logit_diff_percent,8,49.079754584664464
gpt2-small,das,sst,logit_flip,sst_logit_flip_percent,8,49.28571811744168
gpt2-small,das2d,toy_movie_review,logit_difference,toy_logit_diff_percent,5,98.59580865519573
gpt2-small,das2d,toy_movie_review,logit_flip,toy_logit_flip_percent,6,85.71428656578064
gpt2-small,das2d,sst,logit_difference,sst_logit_diff_percent,6,60.42944778335584
gpt2-small,das2d,sst,logit_flip,sst_logit_flip_percent,6,57.85714860473394
gpt2-small,das3d,toy_movie_review,logit_difference,toy_logit_diff_percent,5,100.88105900148949
gpt2-small,das3d,toy_movie_review,logit_flip,toy_logit_flip_percent,7,92.85714030265808
gpt2-small,das3d,sst,logit_difference,sst_logit_diff_percent,7,57.3619633226843
gpt2-small,das3d,sst,logit_flip,sst_logit_flip_percent,6,55.714293377740496
gpt2-small,kmeans,toy_movie_review,logit_difference,toy_logit_diff_percent,6,72.24669843196678
gpt2-small,kmeans,toy_movie_review,logit_flip,toy_logit_flip_percent,6,78.57142686843872
gpt2-small,kmeans,sst,logit_difference,sst_logit_diff_percent,6,40.797545589531026
gpt2-small,kmeans,sst,logit_flip,sst_logit_flip_percent,6,45.714289546013106
gpt2-small,logistic_regression,toy_movie_review,logit_difference,toy_logit_diff_percent,3,68.9427336094812
gpt2-small,logistic_regression,toy_movie_review,logit_flip,toy_logit_flip_percent,3,89.28571343421936
gpt2-small,logistic_regression,sst,logit_difference,sst_logit_diff_percent,7,47.85276069755041
gpt2-small,logistic_regression,sst,logit_flip,sst_logit_flip_percent,7,47.14285331112975
gpt2-small,mean_diff,toy_movie_review,logit_difference,toy_logit_diff_percent,6,72.24669843196678
gpt2-small,mean_diff,toy_movie_review,logit_flip,toy_logit_flip_percent,3,82.14285969734192
gpt2-small,mean_diff,sst,logit_difference,sst_logit_diff_percent,6,40.797545589531026
gpt2-small,mean_diff,sst,logit_flip,sst_logit_flip_percent,5,45.714289546013106
gpt2-small,pca,toy_movie_review,logit_difference,toy_logit_diff_percent,6,51.762117773225434
gpt2-small,pca,toy_movie_review,logit_flip,toy_logit_flip_percent,6,50.0
gpt2-small,pca,sst,logit_difference,sst_logit_diff_percent,6,27.914111060401453
gpt2-small,pca,sst,logit_flip,sst_logit_flip_percent,6,36.42856759684403
gpt2-small,random,toy_movie_review,logit_difference,toy_logit_diff_percent,3,2.9735736705199223
gpt2-small,random,toy_movie_review,logit_flip,toy_logit_flip_percent,0,0.0
gpt2-small,random,sst,logit_difference,sst_logit_diff_percent,11,3.0674844606715346
gpt2-small,random,sst,logit_flip,sst_logit_flip_percent,7,12.14285905872084
